Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
should,4405.38,4367.26,4357.0,4358.92,4346.09,4317.26
product,6254.83,6190.21,6104.16,6113.72,6034.42,5938.44
system,29084.82,28773.68,28583.84,28326.65,28135.56,28035.01
post,3497.91,3531.92,3703.53,3731.81,3737.29,3809.3
her,11816.98,11925.31,12175.21,12005.22,11991.29,12021.68
city,3810.17,3828.95,3840.85,3786.38,3797.01,3801.64
t,10769.76,10673.96,10404.62,10202.97,9961.72,9802.91
add,2590.44,2600.89,2601.76,2631.01,2637.59,2612.58
policy,2407.56,2402.04,2394.17,2399.3,2403.38,2393.46
number,15596.1,15470.54,15450.64,15361.39,15218.28,15101.61
such,28690.61,28702.96,28776.08,28933.99,29018.89,29037.13
please,180.29,173.89,170.44,170.81,173.72,172.38
available,13449.05,13358.05,13255.98,13192.21,13188.71,13132.6
copyright,1075.68,1063.32,1069.46,1069.96,1081.87,1079.51
support,13622.43,13868.91,14008.8,14130.11,14172.09,14251.18
message,3604.01,3601.81,3550.87,3508.8,3440.26,3458.41
after,16763.22,17117.11,17455.47,17653.94,17903.95,18078.11
best,7390.89,7354.21,7271.36,7148.88,7099.23,7036.33
software,25455.8,24887.32,24541.05,24366.29,24157.07,24059.45
then,15011.24,14915.59,14873.1,14860.81,14759.94,14739.98
jan,621.08,601.55,582.39,572.54,563.81,537.07
good,2719.83,2704.89,2650.23,2641.29,2614.32,2591.12
video,14344.44,14373.94,14238.2,14131.69,14068.17,13964.64
well,13277.38,13355.55,13272.94,13254.69,13135.98,13041.43
d,8932.39,8664.64,8411.1,8206.98,8151.63,8051.48
where,16240.47,16262.62,16209.92,16170.39,16189.25,16165.79
info,374.38,352.78,323.1,307.62,306.34,285.77
rights,2353.22,2381.24,2446.67,2476.01,2521.26,2512.21
public,8526.96,8553.14,8510.45,8464.78,8485.11,8480.53
books,2214.34,2212.34,2178.5,2161.27,2104.02,2084.7
high,10107.27,10072.41,10019.33,10033.74,9995.07,10065.7
school,4572.73,4530.34,4528.24,4472.8,4466.29,4440.61
through,15052.65,15161.86,15234.16,15175.55,15213.63,15197.38
m,8496.77,8561.46,8298.01,7724.59,7490.1,7423.24
each,18993.94,18884.31,18924.77,18829.87,18745.41,18774.54
links,1844.27,1822.12,1812.59,1784.06,1788.38,1752.19
she,12574.35,12639.19,12823.83,12752.53,12724.17,12692.83
review,3954.23,3924.63,3865.08,3829.87,3807.87,3804.71
years,6161.67,6229.32,6324.68,6354.12,6426.84,6521.48
order,9112.67,8967.49,8881.21,8819.85,8728.62,8632.23
very,5142.05,5062.0,4961.2,4896.67,4790.47,4718.73
privacy,3520.34,3597.65,3701.92,3712.04,3702.39,3642.28
book,4086.21,4070.23,4025.82,4038.64,4038.98,4005.44
items,2688.77,2704.89,2732.62,2773.35,2784.94,2755.08
company,18341.8,18556.5,18809.26,19060.78,19327.83,19396.65
r,6294.51,6488.91,6399.8,5819.54,5634.25,5468.02
read,2749.16,2697.4,2655.07,2634.96,2580.97,2584.23
group,11653.08,11601.66,11598.48,11557.62,11575.6,11545.9
sex,488.24,529.16,544.42,549.61,562.26,570.02
need,4353.62,4312.35,4277.03,4239.51,4178.57,4153.31
many,12689.94,12777.3,12703.48,12691.63,12614.82,12564.11
user,15147.54,15149.38,14970.03,14852.12,14748.31,14648.81
said,6355.75,6457.29,6642.93,6784.32,7010.04,7094.56
de,4094.84,3945.43,3802.08,3685.15,3689.21,3658.37
does,5815.76,5772.54,5762.49,5733.34,5705.6,5670.29
