Word,Frequency 2020-01-01,Frequency 2024-11-01,Growth Rate (%)
savage,3.0,11.87,295.67
rally,23.0,90.33,292.74
opposition,4.0,15.69,292.25
protest,4.0,15.69,292.25
oliver,10.0,38.59,285.9
please,1.0,3.82,282.0
delivery,1.0,3.82,282.0
actually,1.0,3.82,282.0
est,1.0,3.82,282.0
monitor,1.0,3.82,282.0
entries,1.0,3.82,282.0
seeing,1.0,3.82,282.0
belgium,1.0,3.82,282.0
enforcement,1.0,3.82,282.0
relation,1.0,3.82,282.0
prepare,1.0,3.82,282.0
push,1.0,3.82,282.0
ethnic,1.0,3.82,282.0
burning,1.0,3.82,282.0
pour,1.0,3.82,282.0
rescue,1.0,3.82,282.0
regardless,1.0,3.82,282.0
penalty,1.0,3.82,282.0
emerging,1.0,3.82,282.0
complaints,1.0,3.82,282.0
romantic,1.0,3.82,282.0
slowly,1.0,3.82,282.0
collector,1.0,3.82,282.0
minneapolis,1.0,3.82,282.0
considerable,1.0,3.82,282.0
retailers,1.0,3.82,282.0
stops,1.0,3.82,282.0
fisheries,1.0,3.82,282.0
trick,1.0,3.82,282.0
henderson,1.0,3.82,282.0
carroll,1.0,3.82,282.0
accepts,1.0,3.82,282.0
limiting,1.0,3.82,282.0
robertson,1.0,3.82,282.0
dec,4.0,15.27,281.75
fire,20.0,76.34,281.7
months,9.0,34.35,281.67
hundreds,3.0,11.45,281.67
suspect,3.0,11.45,281.67
feed,2.0,7.63,281.5
ensure,2.0,7.63,281.5
governments,2.0,7.63,281.5
chen,2.0,7.63,281.5
vc,2.0,7.63,281.5
response,9.0,33.93,277.0
wednesday,8.0,30.11,276.38
asked,5.0,18.66,273.2
dance,5.0,18.66,273.2
dispute,3.0,11.03,267.67
passengers,3.0,11.03,267.67
hit,9.0,33.08,267.56
percent,6.0,22.05,267.5
allowed,6.0,22.05,267.5
patients,5.0,18.24,264.8
harris,5.0,18.24,264.8
night,15.0,54.71,264.73
friday,7.0,25.45,263.57
sun,2.0,7.21,260.5
showing,2.0,7.21,260.5
police,20.0,70.82,254.1
manufacturer,3.0,10.6,253.33
mall,3.0,10.6,253.33
particularly,30.0,105.6,252.0
japan,37.0,129.35,249.59
indonesia,15.0,52.16,247.73
anyone,2.0,6.79,239.5
cat,2.0,6.79,239.5
mental,2.0,6.79,239.5
pupils,2.0,6.79,239.5
lion,2.0,6.79,239.5
assault,2.0,6.79,239.5
alt,2.0,6.79,239.5
reconstruction,2.0,6.79,239.5
marilyn,2.0,6.79,239.5
sustained,2.0,6.79,239.5
electoral,2.0,6.79,239.5
beauty,3.0,10.18,239.33
controversial,3.0,10.18,239.33
win,14.0,47.5,239.29
allow,4.0,13.57,239.25
soldier,4.0,13.57,239.25
customer,1.0,3.39,239.0
requirements,1.0,3.39,239.0
copy,1.0,3.39,239.0
nice,1.0,3.39,239.0
returns,1.0,3.39,239.0
submitted,1.0,3.39,239.0
device,1.0,3.39,239.0
theory,1.0,3.39,239.0
solid,1.0,3.39,239.0
explain,1.0,3.39,239.0
confirm,1.0,3.39,239.0
disability,1.0,3.39,239.0
eating,1.0,3.39,239.0
solar,1.0,3.39,239.0
pearl,1.0,3.39,239.0
recommendation,1.0,3.39,239.0
inner,1.0,3.39,239.0
everyday,1.0,3.39,239.0
desired,1.0,3.39,239.0
tourist,1.0,3.39,239.0
tiger,1.0,3.39,239.0
boost,1.0,3.39,239.0
carol,1.0,3.39,239.0
heading,1.0,3.39,239.0
seeks,1.0,3.39,239.0
voters,1.0,3.39,239.0
perry,1.0,3.39,239.0
tribune,1.0,3.39,239.0
spell,1.0,3.39,239.0
aggregate,1.0,3.39,239.0
fastest,1.0,3.39,239.0
prizes,1.0,3.39,239.0
emirates,1.0,3.39,239.0
aurora,1.0,3.39,239.0
fighter,1.0,3.39,239.0
ul,1.0,3.39,239.0
community,67.0,226.04,237.37
least,17.0,57.25,236.76
outside,13.0,43.68,236.0
jan,16.0,53.44,234.0
leaving,8.0,26.72,234.0
tuesday,7.0,23.33,233.29
aged,15.0,49.62,230.8
charitable,5.0,16.54,230.8
northern,34.0,112.39,230.56
eu,4.0,13.15,228.75
kelly,4.0,13.15,228.75
ongoing,4.0,13.15,228.75
entered,7.0,22.9,227.14
q,10.0,32.66,226.6
rating,3.0,9.75,225.0
marked,3.0,9.75,225.0
craig,3.0,9.75,225.0
care,14.0,44.95,221.07
edinburgh,10.0,31.81,218.1
tell,2.0,6.36,218.0
ask,2.0,6.36,218.0
risk,2.0,6.36,218.0
ms,2.0,6.36,218.0
safe,2.0,6.36,218.0
educational,4.0,12.72,218.0
responsibility,2.0,6.36,218.0
minimum,2.0,6.36,218.0
discuss,2.0,6.36,218.0
truck,2.0,6.36,218.0
nw,2.0,6.36,218.0
accident,2.0,6.36,218.0
leg,2.0,6.36,218.0
permitted,2.0,6.36,218.0
algeria,2.0,6.36,218.0
provinces,2.0,6.36,218.0
replacing,4.0,12.72,218.0
marking,2.0,6.36,218.0
northeast,7.0,22.05,215.0
align,7.0,22.05,215.0
calls,5.0,15.69,213.8
month,13.0,40.71,213.15
monday,11.0,34.35,212.27
spread,11.0,34.35,212.27
policies,3.0,9.33,211.0
philadelphia,6.0,18.66,211.0
wave,3.0,9.33,211.0
request,4.0,12.3,207.5
replacement,4.0,12.3,207.5
color,5.0,15.27,205.4
people,104.0,316.8,204.62
cancer,6.0,18.24,204.0
control,10.0,30.11,201.1
sporting,11.0,33.08,200.73
said,47.0,140.8,199.57
sale,2.0,5.94,197.0
photos,1.0,2.97,197.0
none,1.0,2.97,197.0
supply,1.0,2.97,197.0
valid,1.0,2.97,197.0
difference,1.0,2.97,197.0
settings,1.0,2.97,197.0
approval,2.0,5.94,197.0
flag,1.0,2.97,197.0
waiting,2.0,5.94,197.0
colors,1.0,2.97,197.0
achieve,1.0,2.97,197.0
denver,1.0,2.97,197.0
attractions,1.0,2.97,197.0
limits,1.0,2.97,197.0
lodge,1.0,2.97,197.0
tonight,1.0,2.97,197.0
blocks,1.0,2.97,197.0
pull,1.0,2.97,197.0
investments,2.0,5.94,197.0
representation,1.0,2.97,197.0
committees,1.0,2.97,197.0
duration,1.0,2.97,197.0
capture,1.0,2.97,197.0
proposals,1.0,2.97,197.0
sw,1.0,2.97,197.0
commands,1.0,2.97,197.0
mad,2.0,5.94,197.0
deck,1.0,2.97,197.0
sacramento,1.0,2.97,197.0
counts,1.0,2.97,197.0
restricted,2.0,5.94,197.0
balls,2.0,5.94,197.0
roses,1.0,2.97,197.0
billy,1.0,2.97,197.0
franchise,1.0,2.97,197.0
overnight,2.0,5.94,197.0
corp,1.0,2.97,197.0
wizard,2.0,5.94,197.0
rough,1.0,2.97,197.0
meals,1.0,2.97,197.0
rivers,1.0,2.97,197.0
melissa,1.0,2.97,197.0
proportion,1.0,2.97,197.0
tears,1.0,2.97,197.0
affecting,1.0,2.97,197.0
reveal,1.0,2.97,197.0
intention,1.0,2.97,197.0
chances,1.0,2.97,197.0
custody,1.0,2.97,197.0
competitors,1.0,2.97,197.0
humanity,1.0,2.97,197.0
argued,1.0,2.97,197.0
queens,1.0,2.97,197.0
retained,2.0,5.94,197.0
scout,1.0,2.97,197.0
auburn,1.0,2.97,197.0
dice,1.0,2.97,197.0
hostel,1.0,2.97,197.0
remainder,1.0,2.97,197.0
abu,1.0,2.97,197.0
richards,1.0,2.97,197.0
expects,1.0,2.97,197.0
prisoner,2.0,5.94,197.0
hits,3.0,8.91,197.0
infrastructure,3.0,8.91,197.0
lights,3.0,8.91,197.0
gang,3.0,8.91,197.0
pen,3.0,8.91,197.0
roads,3.0,8.91,197.0
neighborhood,9.0,26.72,196.89
call,8.0,23.75,196.88
dublin,21.0,62.34,196.86
kill,5.0,14.84,196.8
golf,4.0,11.87,196.75
residents,4.0,11.87,196.75
appointment,4.0,11.87,196.75
families,6.0,17.39,189.83
indigenous,9.0,25.87,187.44
car,16.0,45.8,186.25
partnership,4.0,11.45,186.25
width,4.0,11.45,186.25
disabilities,4.0,11.45,186.25
start,11.0,31.38,185.27
service,144.0,407.13,182.73
effect,6.0,16.96,182.67
experts,3.0,8.48,182.67
industries,3.0,8.48,182.67
hunter,3.0,8.48,182.67
arena,3.0,8.48,182.67
illness,3.0,8.48,182.67
coalition,3.0,8.48,182.67
leaders,8.0,22.48,181.0
mar,13.0,36.47,180.54
camp,5.0,14.0,180.0
scheme,5.0,14.0,180.0
storm,5.0,14.0,180.0
evans,5.0,14.0,180.0
veterans,5.0,14.0,180.0
il,15.0,41.99,179.93
security,9.0,25.02,178.0
developing,4.0,11.03,175.75
shut,4.0,11.03,175.75
singh,4.0,11.03,175.75
payment,2.0,5.51,175.5
nothing,2.0,5.51,175.5
implementation,2.0,5.51,175.5
demand,2.0,5.51,175.5
reporting,2.0,5.51,175.5
structures,2.0,5.51,175.5
pregnant,2.0,5.51,175.5
mp,2.0,5.51,175.5
ra,2.0,5.51,175.5
raising,2.0,5.51,175.5
museums,2.0,5.51,175.5
tail,2.0,5.51,175.5
dying,2.0,5.51,175.5
neighbors,2.0,5.51,175.5
elliott,2.0,5.51,175.5
java,5.0,13.57,171.4
recovery,5.0,13.57,171.4
stay,6.0,16.12,168.67
figures,6.0,16.12,168.67
moore,3.0,8.06,168.67
heroes,3.0,8.06,168.67
brooklyn,3.0,8.06,168.67
burns,3.0,8.06,168.67
auckland,3.0,8.06,168.67
heart,8.0,21.2,165.0
increase,8.0,21.2,165.0
worth,4.0,10.6,165.0
sub,4.0,10.6,165.0
heat,4.0,10.6,165.0
next,25.0,66.16,164.64
independent,26.0,68.28,162.62
hour,6.0,15.69,161.5
standing,7.0,18.24,160.57
through,123.0,320.19,160.32
stage,22.0,57.25,160.23
fired,8.0,20.78,159.75
health,53.0,137.41,159.26
evening,9.0,23.33,159.22
saturday,12.0,30.96,158.0
minister,79.0,203.14,157.14
plan,10.0,25.45,154.5
break,6.0,15.27,154.5
capacity,6.0,15.27,154.5
situation,4.0,10.18,154.5
protect,2.0,5.09,154.5
bird,2.0,5.09,154.5
scene,6.0,15.27,154.5
kid,2.0,5.09,154.5
aviation,4.0,10.18,154.5
disaster,4.0,10.18,154.5
jon,4.0,10.18,154.5
motorcycle,2.0,5.09,154.5
walls,4.0,10.18,154.5
cuts,2.0,5.09,154.5
fewer,2.0,5.09,154.5
ruling,4.0,10.18,154.5
bat,2.0,5.09,154.5
alto,2.0,5.09,154.5
hay,2.0,5.09,154.5
spokesman,2.0,5.09,154.5
drive,15.0,38.17,154.47
star,13.0,33.08,154.46
prevent,5.0,12.72,154.4
queensland,5.0,12.72,154.4
card,3.0,7.63,154.33
lowest,3.0,7.63,154.33
extend,3.0,7.63,154.33
wake,3.0,7.63,154.33
croatia,3.0,7.63,154.33
bowling,3.0,7.63,154.33
villages,3.0,7.63,154.33
toys,1.0,2.54,154.0
storage,1.0,2.54,154.0
classes,1.0,2.54,154.0
agencies,1.0,2.54,154.0
employee,1.0,2.54,154.0
documentation,1.0,2.54,154.0
falls,1.0,2.54,154.0
priority,1.0,2.54,154.0
bonus,1.0,2.54,154.0
luxury,1.0,2.54,154.0
prints,1.0,2.54,154.0
feeling,1.0,2.54,154.0
marketplace,1.0,2.54,154.0
extent,1.0,2.54,154.0
ab,1.0,2.54,154.0
dental,1.0,2.54,154.0
specialty,1.0,2.54,154.0
lessons,1.0,2.54,154.0
publishers,1.0,2.54,154.0
loop,1.0,2.54,154.0
strip,1.0,2.54,154.0
neck,1.0,2.54,154.0
determination,1.0,2.54,154.0
usual,1.0,2.54,154.0
prayer,1.0,2.54,154.0
comic,1.0,2.54,154.0
par,1.0,2.54,154.0
lounge,1.0,2.54,154.0
sand,1.0,2.54,154.0
mutual,1.0,2.54,154.0
visible,1.0,2.54,154.0
reducing,1.0,2.54,154.0
partial,1.0,2.54,154.0
ease,1.0,2.54,154.0
governance,1.0,2.54,154.0
finger,1.0,2.54,154.0
sight,1.0,2.54,154.0
slip,1.0,2.54,154.0
believes,1.0,2.54,154.0
equipped,1.0,2.54,154.0
arrow,1.0,2.54,154.0
albany,1.0,2.54,154.0
butter,1.0,2.54,154.0
outreach,1.0,2.54,154.0
freight,1.0,2.54,154.0
invitation,1.0,2.54,154.0
grammar,1.0,2.54,154.0
refuse,1.0,2.54,154.0
handled,1.0,2.54,154.0
expo,1.0,2.54,154.0
uncertainty,1.0,2.54,154.0
boulevard,1.0,2.54,154.0
accepting,1.0,2.54,154.0
lindsay,1.0,2.54,154.0
extending,1.0,2.54,154.0
organizing,1.0,2.54,154.0
finances,1.0,2.54,154.0
worried,1.0,2.54,154.0
combines,1.0,2.54,154.0
panic,1.0,2.54,154.0
gazette,1.0,2.54,154.0
jenny,1.0,2.54,154.0
clusters,1.0,2.54,154.0
commitments,1.0,2.54,154.0
italia,1.0,2.54,154.0
closes,1.0,2.54,154.0
acquisitions,1.0,2.54,154.0
ricky,1.0,2.54,154.0
due,56.0,142.07,153.7
times,39.0,98.39,152.28
nine,11.0,27.57,150.64
victory,10.0,25.02,150.2
regions,9.0,22.48,149.78
sunday,8.0,19.93,149.12
primary,8.0,19.93,149.12
told,8.0,19.93,149.12
drivers,7.0,17.39,148.43
power,23.0,56.83,147.09
schools,17.0,41.99,147.0
disease,5.0,12.3,146.0
rain,5.0,12.3,146.0
barry,5.0,12.3,146.0
ko,5.0,12.3,146.0
journal,25.0,61.49,145.96
weeks,18.0,44.11,145.06
shortly,13.0,31.81,144.69
condition,4.0,9.75,143.75
parties,4.0,9.75,143.75
min,4.0,9.75,143.75
negative,4.0,9.75,143.75
attending,4.0,9.75,143.75
continue,7.0,16.96,142.29
introduction,3.0,7.21,140.33
fort,3.0,7.21,140.33
beat,3.0,7.21,140.33
spot,3.0,7.21,140.33
organisation,3.0,7.21,140.33
lisa,3.0,7.21,140.33
seriously,3.0,7.21,140.33
attendance,3.0,7.21,140.33
headed,3.0,7.21,140.33
exceptional,3.0,7.21,140.33
rejected,3.0,7.21,140.33
ellen,3.0,7.21,140.33
julian,3.0,7.21,140.33
philippines,10.0,23.75,137.5
fall,5.0,11.87,137.4
respectively,5.0,11.87,137.4
suspended,5.0,11.87,137.4
woman,24.0,56.83,136.79
patrick,7.0,16.54,136.29
kim,18.0,42.41,135.61
uk,40.0,94.15,135.38
kids,2.0,4.67,133.5
fish,2.0,4.67,133.5
motor,2.0,4.67,133.5
task,2.0,4.67,133.5
failure,2.0,4.67,133.5
controls,2.0,4.67,133.5
eat,2.0,4.67,133.5
cotton,2.0,4.67,133.5
sending,2.0,4.67,133.5
asking,2.0,4.67,133.5
editing,2.0,4.67,133.5
worst,2.0,4.67,133.5
covering,2.0,4.67,133.5
charity,2.0,4.67,133.5
indoor,2.0,4.67,133.5
secured,2.0,4.67,133.5
automobile,2.0,4.67,133.5
ash,2.0,4.67,133.5
snake,2.0,4.67,133.5
witnesses,2.0,4.67,133.5
widespread,2.0,4.67,133.5
hitting,2.0,4.67,133.5
gerald,2.0,4.67,133.5
budget,6.0,14.0,133.33
increased,6.0,14.0,133.33
nearly,6.0,14.0,133.33
gun,6.0,14.0,133.33
southwest,10.0,23.33,133.3
sports,14.0,32.66,133.29
person,20.0,46.65,133.25
rules,8.0,18.66,133.25
individuals,8.0,18.66,133.25
bus,8.0,18.66,133.25
houston,4.0,9.33,133.25
soul,4.0,9.33,133.25
guns,4.0,9.33,133.25
broke,9.0,20.78,130.89
squad,25.0,57.68,130.72
prime,29.0,66.58,129.59
reduced,5.0,11.45,129.0
shots,5.0,11.45,129.0
rising,5.0,11.45,129.0
denied,5.0,11.45,129.0
emperor,5.0,11.45,129.0
economic,13.0,29.69,128.38
baby,8.0,18.24,128.0
driver,11.0,25.02,127.45
india,29.0,65.73,126.66
talk,3.0,6.79,126.33
growth,3.0,6.79,126.33
spend,3.0,6.79,126.33
immediate,3.0,6.79,126.33
wildlife,3.0,6.79,126.33
temporary,3.0,6.79,126.33
muslim,3.0,6.79,126.33
suffering,3.0,6.79,126.33
jacob,3.0,6.79,126.33
northwest,9.0,20.36,126.22
jordan,6.0,13.57,126.17
charged,6.0,13.57,126.17
presidential,7.0,15.69,124.14
need,4.0,8.91,122.75
jobs,4.0,8.91,122.75
teachers,4.0,8.91,122.75
clean,4.0,8.91,122.75
optional,4.0,8.91,122.75
continues,4.0,8.91,122.75
passenger,4.0,8.91,122.75
closure,4.0,8.91,122.75
standings,4.0,8.91,122.75
hold,8.0,17.81,122.62
sources,9.0,19.93,121.44
regulations,9.0,19.93,121.44
southeast,14.0,30.96,121.14
ring,5.0,11.03,120.6
brian,5.0,11.03,120.6
secondary,6.0,13.15,119.17
crew,12.0,26.29,119.08
week,25.0,54.71,118.84
shot,27.0,58.95,118.33
announced,61.0,132.74,117.61
block,8.0,17.39,117.38
visit,9.0,19.51,116.78
ex,9.0,19.51,116.78
armed,11.0,23.75,115.91
revealed,11.0,23.75,115.91
move,15.0,32.23,114.87
houses,15.0,32.23,114.87
man,62.0,133.17,114.79
taking,12.0,25.45,112.08
click,1.0,2.12,112.0
reply,1.0,2.12,112.0
advertising,1.0,2.12,112.0
income,3.0,6.36,112.0
dog,3.0,6.36,112.0
sat,1.0,2.12,112.0
opportunities,3.0,6.36,112.0
approach,3.0,6.36,112.0
assessment,2.0,4.24,112.0
target,4.0,8.48,112.0
evaluation,1.0,2.12,112.0
markets,1.0,2.12,112.0
reduce,2.0,4.24,112.0
guarantee,1.0,2.12,112.0
limit,2.0,4.24,112.0
myself,1.0,2.12,112.0
saying,8.0,16.96,112.0
offering,2.0,4.24,112.0
disc,1.0,2.12,112.0
mouse,1.0,2.12,112.0
identified,6.0,12.72,112.0
dining,1.0,2.12,112.0
dallas,1.0,2.12,112.0
remain,6.0,12.72,112.0
participants,1.0,2.12,112.0
aa,1.0,2.12,112.0
estimates,2.0,4.24,112.0
helps,1.0,2.12,112.0
crystal,1.0,2.12,112.0
colour,1.0,2.12,112.0
viewing,1.0,2.12,112.0
amendment,1.0,2.12,112.0
shares,1.0,2.12,112.0
outdoors,1.0,2.12,112.0
circuit,2.0,4.24,112.0
dinner,3.0,6.36,112.0
greatest,4.0,8.48,112.0
expressed,4.0,8.48,112.0
expand,2.0,4.24,112.0
kits,1.0,2.12,112.0
montana,1.0,2.12,112.0
jennifer,4.0,8.48,112.0
implement,3.0,6.36,112.0
awareness,2.0,4.24,112.0
formula,1.0,2.12,112.0
earn,1.0,2.12,112.0
outlook,1.0,2.12,112.0
diversity,2.0,4.24,112.0
strike,3.0,6.36,112.0
trailer,1.0,2.12,112.0
missed,1.0,2.12,112.0
sustainable,2.0,4.24,112.0
bold,1.0,2.12,112.0
improving,2.0,4.24,112.0
measured,1.0,2.12,112.0
detection,1.0,2.12,112.0
tone,1.0,2.12,112.0
instructor,1.0,2.12,112.0
quiet,1.0,2.12,112.0
worker,2.0,4.24,112.0
prove,1.0,2.12,112.0
genetic,1.0,2.12,112.0
sick,1.0,2.12,112.0
purple,1.0,2.12,112.0
substantial,1.0,2.12,112.0
nz,1.0,2.12,112.0
pat,3.0,6.36,112.0
associations,2.0,4.24,112.0
dodge,1.0,2.12,112.0
realize,1.0,2.12,112.0
smile,1.0,2.12,112.0
hunt,2.0,4.24,112.0
complaint,1.0,2.12,112.0
reserves,2.0,4.24,112.0
pad,1.0,2.12,112.0
versus,1.0,2.12,112.0
involves,2.0,4.24,112.0
deadline,1.0,2.12,112.0
dawn,2.0,4.24,112.0
recall,1.0,2.12,112.0
receives,1.0,2.12,112.0
favor,2.0,4.24,112.0
aaron,4.0,8.48,112.0
packs,1.0,2.12,112.0
ge,1.0,2.12,112.0
voluntary,1.0,2.12,112.0
cry,1.0,2.12,112.0
holes,1.0,2.12,112.0
tu,1.0,2.12,112.0
realized,1.0,2.12,112.0
coordination,2.0,4.24,112.0
territories,1.0,2.12,112.0
frequent,1.0,2.12,112.0
cure,1.0,2.12,112.0
bomb,2.0,4.24,112.0
colleagues,1.0,2.12,112.0
apparent,2.0,4.24,112.0
mounting,1.0,2.12,112.0
dale,1.0,2.12,112.0
diagram,1.0,2.12,112.0
