Date,CS,Art,Bio,Sports,Phy,Philosophy,Chem,Math
20220129,259.6541929229278,189.02068560588953,214.51341084912215,227.3206435944141,194.4333514824531,266.77864077669904,178.89009378663542,183.69629598201027
20220130,262.4861528518339,199.76735468136036,218.29744753787003,285.74238008500305,200.0809285749641,277.6235633691944,180.7759745017585,188.86053714625143
20220131,298.2690256907416,200.89359107538053,236.03659609950432,289.5717061323619,228.85591248824431,287.9550774075046,201.1949736225088,222.16199244770672
20220201,288.4320245597027,192.9385303283501,229.9493676749896,223.08184578020644,219.5781319605999,294.5406979795329,203.4164712778429,219.79451822308965
20220202,293.11375020197124,197.5317284675489,230.99949043405755,226.51074681238615,219.35999604019204,296.0176331671477,203.14335433763188,223.50167593024736
20220203,305.31326547099695,197.3370669798112,230.72914253949136,235.11329690346085,221.27253378211157,289.73760167934927,200.86803927315358,223.88607917179345
20220204,300.84685732751655,197.13432094304684,221.01649140686524,258.63800850030356,219.21145374449338,276.8072946733141,190.61349648300117,209.94497008782724
20220205,257.06518015834547,194.72083465064813,203.59220827349793,270.6864602307225,195.67376132257584,263.61973235371295,171.94094372801877,184.26339683482541
20220206,253.735433834222,200.37319904250035,212.34307685180895,293.9844565877353,201.48963025293273,271.1888218315403,175.23461313012896,186.82247867962153
20220207,302.199095168848,211.1189196513256,237.69634502246723,268.36102003642986,232.66787110825126,302.9317764366308,204.77286049237983,233.25261996690568
20220208,300.2429148489255,211.75019195158305,238.08301292444526,251.63825136612022,236.17324159778252,310.50663867751246,206.24868112543962,235.8638465781323
20220209,300.64792373566,209.89051985005193,238.02853569277806,243.6910746812386,243.77057862693658,309.3394384675938,209.91764361078546,231.39144639144638
20220210,297.6554209080627,207.86581455218825,238.37638393477556,275.9381299332119,233.8137405335841,303.3653634216741,205.967138042204,229.3203784632356
20220211,274.7514945871708,200.5557111241588,224.92157316903692,252.77880995749848,215.0753353462357,282.74384675938074,192.46431711606095,211.60218931647503
20220212,251.98862497980286,199.39659455309155,206.3523880113031,266.54037644201577,190.23258921942286,271.2002099186565,171.53172626025793,180.42212227926512
20220213,276.1648408466634,223.7687096337112,226.34613424746374,340.4992106860959,216.0558827896847,304.61621621621623,189.89372069167644,213.1440027154313
20220214,290.02782355792533,291.55986631136807,226.64511048316118,372.9102003642987,228.5135870910261,294.3038572553136,200.30788393903867,226.26831855403285
20220215,288.42430117951204,222.43652048236305,231.96307963125955,255.02556162720097,234.04816116418354,292.3832589871425,203.626611957796,224.7944757944758
20220216,288.59596057521406,207.39189738494196,232.98531523602168,242.80910746812387,232.7249913379201,281.5896090265022,202.42412807737398,225.6018074589503
