Date,de,en,es,fr,CS
20200216,258.7704691812327,1909.65651874785,569.4161904761904,228.47543252595156,
20200217,241.41582336706531,1888.7205022359822,643.7752380952381,247.06020761245674,
20200218,237.68721251149955,1826.4308565531476,644.9228571428572,214.11487889273357,
20200219,224.03633854645815,1786.6539387684898,643.6590476190477,219.37162629757785,
20200220,208.57129714811407,1764.3568971448228,604.9285714285714,206.85190311418685,
20200221,207.04783808647653,1758.8417612659098,523.4847619047619,196.78961937716264,
20200222,196.48942042318308,1765.8512211902305,456.9790476190476,223.71141868512112,
20200223,235.35740570377186,1755.843309253526,548.6409523809524,261.46712802768167,
20200224,226.71435142594297,1700.37564499484,597.3038095238095,241.96678200692043,
20200225,223.32566697332106,1628.2631578947369,643.2457142857143,213.40415224913494,
20200226,224.04783808647653,1661.5646714826282,617.2895238095238,210.45051903114188,
20200227,219.3748850045998,1728.7119023047815,579.3523809523809,203.10103806228375,
20200228,215.55335786568537,1700.2155142758859,520.9742857142858,194.9833910034602,
20200229,203.1711131554738,1696.388028895769,466.6142857142857,195.92041522491348,
20200301,247.6292548298068,1753.5061919504644,540.14,228.34048442906575,
20200302,223.52667893284269,1670.2708978328174,598.4238095238095,219.09065743944637,
20200303,228.73321067157315,1638.6955624355005,622.62,211.82906574394462,
20200304,231.9001839926403,1623.1606467148263,659.6085714285714,223.37024221453288,
20200305,233.75758969641214,1611.4979360165119,638.0238095238095,232.5287197231834,
20200306,219.8040478380865,1575.200894392845,561.4495238095238,202.43598615916954,
20200307,206.91628334866604,1552.5720674234606,475.6666666666667,204.40138408304497,
20200308,248.0754369825207,1609.2105263157894,556.7190476190476,241.0629757785467,
20200309,243.82796688132476,1538.6633986928105,603.7847619047619,211.00207612456748,
20200310,236.557497700092,1440.7215342277261,619.3552380952381,205.78615916955016,
20200311,230.29484820607175,1438.9193326453387,686.1990476190476,211.94671280276816,
20200312,211.42548298068078,1344.0287237702098,570.2980952380952,193.59515570934255,
20200313,185.77644894204232,1335.5853113175094,478.18666666666667,166.521107266436,
20200314,195.34866605335787,1397.048331613347,446.6485714285714,179.3840830449827,
20200315,215.6609935602576,1414.7727898176815,496.5961904761905,182.680276816609,
20200316,222.6531738730451,1330.6926384588924,525.8961904761904,181.8401384083045,
20200317,209.97654093836246,1333.8037495700034,600.2523809523809,201.3847750865052,
20200318,219.23137074517018,1344.486240110079,662.692380952381,214.54671280276816,
20200319,224.61315547378103,1214.0245958032335,697.7209523809523,223.05190311418684,
20200320,226.02345906163754,1333.3861369109047,713.1419047619048,229.66782006920414,
20200321,248.01333946642134,1312.8386652906777,691.6495238095238,225.71695501730105,
20200322,258.6711131554738,1407.3500171998624,751.8247619047619,239.48512110726642,
20200323,313.06209751609936,1758.9454764361885,828.9104761904762,253.7764705882353,
20200324,269.8491260349586,1537.0595115239078,902.4666666666667,261.0415224913495,
20200325,264.2842686292548,1526.5251117991056,982.64,259.71833910034604,
20200326,268.1333946642134,1575.5068799449605,965.0247619047619,270.91487889273355,
