Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
girls,12.0,10.52,10.26,9.75,9.34,9.96
additional,182.0,183.63,179.17,186.08,181.64,179.2
password,8.0,7.65,7.47,6.2,5.94,5.81
z,86.0,84.16,86.78,82.41,77.24,77.16
latest,36.0,42.08,34.53,32.79,35.65,35.67
something,54.0,58.34,55.06,53.17,54.32,56.42
road,40.0,40.17,40.13,40.76,40.74,39.82
gift,3.0,4.78,2.8,2.66,4.24,4.15
question,160.0,156.85,158.64,154.18,152.78,145.19
changes,162.0,171.2,165.17,168.36,164.67,163.44
night,27.0,28.69,26.13,30.13,30.56,29.04
ca,42.0,28.69,24.26,23.93,19.52,14.93
hard,101.0,102.34,98.91,98.36,97.61,97.07
texas,30.0,28.69,31.73,29.24,28.01,29.04
oct,27.0,22.95,23.33,21.27,19.52,19.08
pay,57.0,61.21,57.86,54.05,54.32,56.42
four,212.0,208.5,228.62,225.96,234.27,221.51
poker,5.0,4.78,11.2,7.98,7.64,7.47
status,69.0,88.95,89.58,86.84,83.18,80.48
browse,5.0,5.74,4.67,3.54,5.09,4.98
issue,153.0,153.03,147.44,147.1,142.6,133.57
range,241.0,234.32,232.36,218.87,218.99,224.83
building,198.0,197.02,193.16,195.83,191.83,184.18
seller,2.0,1.91,1.87,1.77,1.7,1.66
court,36.0,40.17,41.99,31.01,34.8,50.61
february,214.0,210.41,215.56,206.47,202.01,208.24
always,125.0,142.51,138.11,135.58,128.17,124.45
result,271.0,272.58,276.21,287.1,293.68,288.72
audio,113.0,134.85,134.37,139.12,136.66,139.38
light,242.0,251.54,240.75,237.48,235.97,244.74
write,79.0,75.56,79.32,75.32,73.0,71.35
war,87.0,89.9,95.18,102.79,106.1,102.88
nov,8.0,7.65,8.4,7.09,6.79,6.64
offer,88.0,87.99,89.58,84.18,86.58,88.77
blue,109.0,102.34,108.25,109.88,115.44,112.83
groups,166.0,164.5,170.77,172.79,174.0,175.05
al,242.0,258.23,249.15,256.09,253.79,253.87
easy,83.0,82.25,81.18,81.52,78.94,77.16
given,627.0,627.41,638.28,643.32,627.26,611.45
files,66.0,68.86,68.12,64.69,63.66,58.9
event,245.0,238.15,227.69,227.73,224.08,222.34
release,248.0,285.01,287.41,285.33,289.44,299.5
analysis,697.0,669.49,660.67,651.3,637.45,633.85
request,57.0,61.21,58.79,54.94,47.53,48.95
fax,1.0,0.96,0.93,0.89,0.85,0.83
china,149.0,155.9,144.64,250.77,245.3,216.54
making,294.0,286.92,288.34,301.28,304.72,315.26
picture,55.0,53.56,49.46,56.71,53.47,52.27
needs,136.0,137.72,136.24,130.26,130.72,137.72
possible,479.0,480.12,474.98,474.96,460.9,452.16
might,187.0,194.15,187.56,185.2,191.83,187.5
professional,96.0,93.73,98.91,100.13,103.55,103.71
yet,81.0,87.03,82.12,90.38,88.28,82.96
month,41.0,50.69,56.92,55.83,63.66,63.05
major,157.0,169.29,164.24,169.25,168.91,170.08
star,65.0,64.08,66.25,64.69,69.6,64.71
areas,160.0,162.59,157.7,159.5,157.03,163.44
future,372.0,375.87,368.6,362.42,362.44,360.89
space,623.0,606.37,615.88,645.98,620.47,604.81
committee,54.0,53.56,55.06,58.48,56.87,60.56
hand,142.0,147.29,147.44,150.64,145.14,147.68
sun,41.0,43.04,40.13,38.1,37.35,35.67
cards,42.0,42.08,42.93,47.85,50.08,49.78
problems,362.0,322.31,312.61,319.0,310.66,311.12
london,116.0,109.99,107.31,110.76,119.68,116.98
washington,49.0,51.65,56.92,52.28,47.53,48.95
meeting,42.0,43.04,41.99,41.65,39.04,38.16
rss,12.0,11.48,11.2,15.06,11.88,11.61
become,211.0,221.89,210.89,210.01,217.29,214.88
interest,136.0,142.51,141.84,139.12,138.35,139.38
id,69.0,70.77,69.05,70.0,65.36,63.05
child,73.0,71.73,72.79,69.12,76.39,72.18
keep,57.0,58.34,62.52,62.03,66.21,64.71
enter,22.0,21.04,19.6,21.27,21.22,21.57
california,113.0,109.99,109.18,108.11,101.86,102.05
porn,6.0,4.78,5.6,7.98,8.49,9.96
share,87.0,96.6,94.25,105.45,101.01,102.05
similar,437.0,443.78,447.91,448.38,440.53,437.22
garden,11.0,10.52,11.2,12.41,12.73,12.44
schools,21.0,22.0,21.46,20.38,19.52,19.08
million,324.0,340.48,351.8,350.9,365.83,376.66
added,166.0,175.02,177.3,185.2,187.58,185.84
reference,131.0,127.2,121.31,123.17,122.23,121.96
companies,294.0,306.05,294.88,283.56,282.65,304.48
listed,47.0,46.86,47.59,45.19,46.68,52.27
baby,24.0,22.95,22.4,23.04,24.62,24.89
learning,2410.0,2296.35,2342.22,2485.56,2408.04,2402.65
energy,187.0,191.28,184.76,185.2,188.43,194.97
run,198.0,211.37,206.23,208.24,202.86,196.63
delivery,30.0,27.74,28.93,32.79,33.1,34.84
net,174.0,172.15,173.57,166.59,167.21,160.12
popular,146.0,153.98,150.24,146.21,144.3,150.17
term,369.0,361.53,361.13,365.08,352.25,351.77
film,221.0,240.06,295.81,300.39,361.59,375.0
stories,111.0,111.9,98.91,96.59,99.31,94.58
put,66.0,65.04,68.12,68.23,66.21,66.37
computers,160.0,150.16,140.91,140.01,124.77,123.62
journal,249.0,229.54,217.42,210.01,191.83,182.52
reports,88.0,81.3,80.25,74.43,67.9,64.71
co,232.0,228.58,232.36,222.42,232.57,233.96
try,50.0,59.3,54.12,49.62,54.32,52.27
welcome,8.0,5.74,4.67,6.2,6.79,5.81
central,98.0,109.99,108.25,119.63,117.13,112.83
images,510.0,509.77,511.37,535.21,538.14,564.16
president,85.0,81.3,78.38,73.55,78.94,87.11
notice,18.0,20.08,22.4,22.15,21.22,21.57
god,15.0,13.39,12.13,11.52,12.73,11.61
original,263.0,283.1,295.81,297.74,315.75,316.92
head,116.0,125.29,126.91,123.17,122.23,131.08
radio,86.0,84.16,80.25,77.98,77.24,75.5
until,154.0,162.59,161.44,156.84,161.27,167.59
cell,80.0,76.51,70.92,65.57,67.9,65.54
color,170.0,161.63,158.64,192.29,190.13,192.48
self,301.0,315.62,306.07,334.07,339.52,333.52
council,58.0,57.38,56.92,62.03,61.96,59.73
away,77.0,79.38,70.92,68.23,71.3,73.84
includes,280.0,283.1,279.95,291.53,266.52,268.8
track,99.0,109.03,111.05,104.56,116.29,116.98
australia,79.0,76.51,65.32,61.14,61.96,60.56
