Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
lexmark,2.27,2.21,2.17,2.13,2.1,3.12,37.44493392070485
congratulations,2.27,2.21,2.17,2.13,2.1,3.12,37.44493392070485
paypal,2.27,3.32,3.25,3.2,3.15,3.12,37.44493392070485
fucking,2.27,2.21,2.17,3.2,3.15,3.12,37.44493392070485
gbp,2.27,2.21,2.17,2.13,2.1,3.12,37.44493392070485
logitech,2.27,2.21,2.17,2.13,3.15,3.12,37.44493392070485
hostels,2.27,3.32,3.25,3.2,3.15,3.12,37.44493392070485
booking,11.35,15.5,15.16,15.99,14.69,15.59,37.356828193832605
trinidad,11.35,11.07,14.08,13.85,13.64,15.59,37.356828193832605
tub,11.35,15.5,15.16,15.99,15.74,15.59,37.356828193832605
greensboro,9.08,8.86,9.75,10.66,11.54,12.47,37.334801762114544
saddam,18.16,18.82,24.91,24.51,24.14,24.94,37.334801762114544
asus,9.08,8.86,9.75,10.66,10.49,12.47,37.334801762114544
psychiatry,9.08,7.75,10.83,11.72,12.59,12.47,37.334801762114544
beef,49.94,77.51,75.8,71.4,69.27,68.58,37.32478974769724
priced,22.7,23.25,23.82,27.71,29.39,31.17,37.312775330396484
commons,129.4,162.78,170.02,176.91,178.41,177.68,37.310664605873264
dom,29.51,35.43,37.9,38.37,36.73,40.52,37.3093866485937
impressed,131.67,133.99,135.36,136.41,180.51,180.79,37.30538467380573
reservation,20.43,22.15,21.66,21.31,23.09,28.05,37.29809104258444
plugin,13.62,13.29,12.99,18.12,18.89,18.7,37.29809104258444
password,6.81,7.75,7.58,9.59,9.45,9.35,37.29809104258444
hereby,6.81,6.64,8.66,8.53,8.4,9.35,37.29809104258444
checklist,4.54,4.43,6.5,6.39,6.3,6.23,37.224669603524234
hospitality,4.54,4.43,4.33,4.26,5.25,6.23,37.224669603524234
ripe,4.54,4.43,4.33,4.26,5.25,6.23,37.224669603524234
blvd,4.54,4.43,4.33,5.33,6.3,6.23,37.224669603524234
lolita,4.54,4.43,5.41,6.39,6.3,6.23,37.224669603524234
recreational,116.91,119.59,137.53,136.41,139.58,158.97,35.976392096484474
bunny,32.92,40.97,44.4,50.09,49.33,44.68,35.72296476306196
blank,56.75,60.9,64.97,70.34,78.71,76.89,35.48898678414097
investments,78.32,73.08,76.89,92.72,103.9,105.98,35.31664964249235
