Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
privacy,67.64,65.99,65.66,63.44,65.93,67.09
book,6038.01,5985.54,5949.39,5918.07,5939.71,5942.58
items,899.19,911.21,883.5,888.69,892.38,894.21
company,5723.39,5758.79,5782.3,5756.6,5774.3,5768.36
r,3025.21,2969.38,2848.65,2781.41,2759.55,2724.34
read,1503.61,1490.09,1489.11,1489.61,1492.03,1496.92
group,8200.03,8173.28,8259.26,8263.5,8286.6,8307.21
sex,975.51,970.0,961.47,978.08,950.35,961.86
need,1698.46,1694.64,1687.26,1683.38,1683.01,1684.11
many,14270.92,14204.42,14130.09,14124.48,14099.55,14061.47
user,111.08,113.38,110.8,116.49,117.66,120.09
said,9004.89,9222.46,9357.91,9447.46,9518.88,9597.77
de,6971.95,6923.75,6770.74,6702.96,6651.33,6670.46
does,2452.44,2422.89,2398.98,2403.1,2377.02,2378.16
set,6706.35,6735.99,6752.57,6761.78,6769.56,6752.78
under,12373.26,12281.82,12211.25,12235.79,12245.46,12247.69
general,7982.21,7893.74,7840.08,7852.31,7905.21,7891.68
research,2472.92,2467.28,2448.82,2442.31,2471.94,2467.24
university,5430.49,5254.3,5139.17,5080.13,5052.44,5026.38
january,7671.31,7554.21,7578.02,7529.36,7487.44,7471.64
mail,457.35,434.91,440.28,440.6,437.09,435.83
full,3741.95,3742.61,3759.7,3785.44,3788.34,3801.22
map,1381.36,1382.11,1373.61,1359.28,1368.12,1368.94
reviews,1556.97,1556.07,1557.7,1568.62,1602.3,1624.34
program,2123.54,2140.95,2170.93,2178.19,2168.42,2174.06
life,8183.27,8107.3,8034.13,8005.72,7945.56,7945.24
know,1498.64,1469.69,1447.48,1423.87,1407.91,1405.02
games,5851.84,5926.16,6020.91,6078.39,6071.57,6094.81
way,5352.92,5308.89,5267.56,5239.3,5211.59,5176.92
days,6424.0,6394.06,6385.57,6411.15,6411.47,6420.13
management,1044.4,1050.38,1059.96,1061.7,1056.07,1061.66
p,45394.91,43210.13,41417.65,40243.11,39311.76,38791.4
part,12304.38,12334.61,12366.61,12396.69,12366.52,12378.49
could,12667.41,12719.73,12795.17,12896.69,12904.22,12918.06
great,6786.4,6677.2,6546.2,6473.43,6413.18,6373.33
united,10708.93,10612.37,10620.14,10608.35,10510.72,10488.03
hotel,986.68,1028.78,1021.85,1009.8,1010.03,1023.88
real,1978.95,1962.79,1963.39,1955.58,1945.61,1954.17
f,2697.56,2650.84,2608.28,2578.42,2540.72,2542.23
item,238.91,232.75,220.43,224.34,219.4,220.45
international,3795.32,3770.81,3740.94,3759.49,3756.51,3733.0
center,3712.17,3542.26,3504.09,3531.12,3534.84,3544.12
ebay,24.2,22.2,21.11,20.76,19.89,19.73
must,2354.39,2317.31,2261.8,2211.64,2199.68,2188.15
store,589.53,587.88,585.68,580.73,581.47,584.67
travel,1393.15,1402.51,1395.3,1392.72,1399.95,1398.82
comments,562.22,577.08,575.12,593.42,626.94,634.29
made,15453.7,15444.96,15497.25,15550.65,15540.43,15533.59
development,3844.96,3897.38,3954.34,3966.53,3994.1,3997.99
report,2587.1,2525.47,2513.89,2488.45,2517.98,2519.11
off,7339.32,7445.64,7514.71,7478.04,7466.41,7487.42
member,3419.26,3383.89,3362.21,3392.71,3405.81,3427.41
details,1082.25,1090.57,1078.72,1074.39,1077.1,1083.65
line,6773.99,6734.19,6779.53,6763.51,6707.04,6700.91
terms,1848.64,1840.41,1833.83,1831.01,1838.18,1821.68
before,15875.06,15948.85,16160.9,16145.23,16103.14,16116.57
hotels,125.35,130.77,128.98,132.06,140.96,140.39
did,11759.54,11764.73,11773.31,11819.42,11831.1,11854.71
send,661.51,668.86,671.27,680.5,678.09,677.14
right,6499.08,6395.86,6334.56,6247.94,6187.53,6160.77
type,2936.47,2884.79,2839.27,2815.44,2816.39,2828.08
because,10056.73,10074.29,10124.16,10140.65,10124.78,10112.53
local,5004.78,4995.15,5057.1,5063.41,5089.96,5096.86
those,7414.4,7500.83,7485.39,7482.08,7511.31,7521.82
using,4543.09,4597.44,4589.85,4622.23,4644.91,4652.01
results,1420.45,1454.09,1468.0,1450.97,1443.15,1452.38
office,3801.53,3818.8,3848.22,3886.37,3918.5,3922.44
education,1803.96,1785.23,1803.34,1816.02,1813.74,1805.89
national,8862.78,8821.15,8815.04,8784.84,8761.21,8727.25
car,1423.56,1422.9,1415.82,1412.33,1399.38,1418.55
design,4683.96,4698.81,4761.03,4777.36,4800.65,4829.05
take,4970.65,4968.76,4939.84,4950.95,4959.8,4936.74
posted,740.94,716.25,712.31,709.34,707.65,710.4
internet,323.31,319.73,317.17,325.26,323.98,320.81
address,679.51,670.66,681.82,689.73,691.73,688.98
community,1849.88,1827.22,1844.38,1855.81,1868.88,1887.08
within,6855.28,6880.56,6895.03,6883.46,6894.61,6915.72
states,10362.04,10199.66,10134.71,10116.43,10038.96,10031.35
area,8110.05,8056.31,8133.8,8129.13,8133.7,8114.95
want,1167.89,1162.56,1152.0,1150.51,1135.65,1130.44
phone,307.8,305.94,310.13,307.96,304.66,298.26
dvd,798.66,780.44,751.0,728.37,703.1,691.23
shipping,499.55,502.69,512.39,503.46,505.3,502.92
reserved,270.56,274.74,277.3,280.28,274.53,274.58
subject,1761.76,1748.63,1746.47,1745.66,1738.15,1726.39
between,18943.71,19070.6,19212.39,19259.97,19348.66,19444.75
forum,158.86,154.17,158.29,159.17,160.29,164.07
family,7592.5,7508.02,7451.39,7461.89,7468.68,7481.79
l,2754.65,2785.82,2682.74,2639.55,2571.41,2529.82
long,9186.09,9238.66,9108.17,9105.48,9112.48,9100.49
based,7059.44,7103.11,7146.53,7156.24,7178.8,7182.97
w,2024.25,1978.98,1938.77,1946.93,1950.16,1940.64
code,628.0,622.07,630.82,623.41,615.0,614.56
show,5527.91,5506.24,5468.65,5475.17,5458.28,5437.97
o,3169.8,3181.13,3200.4,3163.76,3117.07,3128.03
even,6517.7,6460.64,6353.32,6287.73,6261.98,6247.6
black,6395.45,6394.66,6500.47,6555.32,6584.83,6605.06
check,230.85,225.55,230.4,229.53,230.2,232.85
special,2848.35,2808.01,2801.16,2775.65,2751.59,2733.36
prices,391.57,386.92,386.93,386.39,382.53,389.03
website,840.85,797.83,754.52,720.3,695.71,683.34
index,269.94,263.94,267.34,258.94,261.46,255.97
being,11774.43,11912.9,12001.37,12072.59,12168.72,12232.47
women,4061.54,4155.93,4124.94,4256.03,4290.8,4294.56
much,8079.02,8068.31,7967.89,7971.69,7945.0,7933.4
sign,982.34,984.39,985.51,999.99,996.96,1003.59
file,263.74,251.35,243.3,237.02,234.75,237.36
link,758.32,733.65,731.07,721.45,712.2,712.09
open,3449.67,3469.67,3478.29,3476.33,3461.51,3457.86
today,2031.7,1975.39,1916.49,1877.15,1843.87,1808.71
technology,937.04,925.01,928.64,920.99,935.01,944.95
south,12360.23,12262.03,12245.25,12181.58,12125.53,12080.8
case,3141.87,3113.35,3059.12,3068.61,3085.24,3073.34
project,3609.77,3676.63,3691.11,3715.66,3719.56,3740.33
same,8602.15,8615.99,8629.19,8578.95,8624.79,8643.24
pages,704.95,694.65,647.82,648.78,686.05,688.41
uk,2086.93,2107.96,2102.34,2117.63,2108.17,2092.31
version,4093.81,4055.15,4082.73,4047.26,4072.54,4056.06
section,2717.41,2702.43,2734.91,2696.06,2689.64,2674.16
own,6862.73,6878.76,6811.78,6811.38,6804.23,6780.4
found,11381.62,11523.58,11500.12,11597.97,11625.91,11664.71
sports,1195.19,1209.35,1218.84,1204.72,1213.52,1209.94
house,7640.28,7602.8,7629.61,7702.37,7735.83,7730.99
related,2304.12,2308.92,2293.46,2277.96,2291.19,2293.59
