Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
adelaide,2.888e-05,2.929e-05,2.718e-05,2.909e-05,2.706e-05,-0.00441501
encouraging,1.067e-05,1.038e-05,1.128e-05,1.053e-05,1.432e-05,0.26950355
furnished,2.51e-06,3.66e-06,3.59e-06,3.09e-06,2.65e-06,-0.26183844
monaco,8.79e-06,9.15e-06,1.282e-05,8.97e-06,1.22e-05,-0.04836193
settled,6.719e-05,6.896e-05,7.18e-05,6.808e-05,5.571e-05,-0.22409471
folding,5.02e-06,4.88e-06,4.62e-06,4.95e-06,4.77e-06,0.03246753
emirates,3.14e-06,3.05e-06,4.62e-06,3.1e-06,4.77e-06,0.03246753
terrorists,1.26e-06,1.22e-06,2.56e-06,1.24e-06,2.65e-06,0.03515625
airfare,0.0,0.0,0.0,0.0,0.0,
comparisons,1.319e-05,1.343e-05,1.026e-05,1.331e-05,2.334e-05,1.2748538
beneficial,8.79e-06,7.32e-06,1.026e-05,8.05e-06,1.379e-05,0.34405458
distributions,2.51e-06,2.44e-06,3.08e-06,2.48e-06,4.24e-06,0.37662338
vaccine,6.91e-06,6.1e-06,7.18e-06,6.5e-06,6.37e-06,-0.11281337
belize,8.16e-06,7.93e-06,7.18e-06,8.05e-06,7.43e-06,0.03481894
crap,3.14e-06,2.44e-06,1.54e-06,2.79e-06,1.06e-06,-0.31168831
fate,2.637e-05,2.441e-05,2.616e-05,2.539e-05,2.281e-05,-0.1280581
viewpicture,0.0,0.0,0.0,0.0,0.0,
promised,2.386e-05,2.319e-05,2.103e-05,2.352e-05,7.43e-06,-0.6466952
volvo,0.0,0.0,0.0,0.0,0.0,
penny,1.946e-05,1.953e-05,1.693e-05,1.95e-05,1.698e-05,0.00295334
robust,2.7e-05,2.929e-05,2.77e-05,2.814e-05,6.154e-05,1.22166065
bookings,6.3e-07,6.1e-07,1.03e-06,6.2e-07,5.3e-07,-0.48543689
threatened,0.00011867,0.0001184,0.00010463,0.00011854,6.897e-05,-0.34082003
minolta,0.0,0.0,0.0,0.0,0.0,
republicans,2.888e-05,2.746e-05,2.564e-05,2.817e-05,2.387e-05,-0.06903276
discusses,6.28e-06,6.1e-06,5.13e-06,6.19e-06,4.24e-06,-0.17348928
gui,6.3e-07,6.1e-07,1.03e-06,6.2e-07,5.3e-07,-0.48543689
porter,1.005e-05,1.038e-05,1.128e-05,1.021e-05,1.114e-05,-0.01241135
gras,0.0,0.0,5.1e-07,0.0,5.3e-07,0.03921569
jungle,1.695e-05,1.648e-05,1.385e-05,1.671e-05,1.273e-05,-0.08086643
ver,0.0,0.0,0.0,0.0,0.0,
rn,5.02e-06,4.27e-06,5.64e-06,4.65e-06,4.77e-06,-0.15425532
responded,3.014e-05,3.052e-05,3.129e-05,3.033e-05,2.706e-05,-0.13518696
rim,9.42e-06,1.038e-05,1.128e-05,9.9e-06,1.061e-05,-0.05939716
abstracts,0.0,0.0,0.0,0.0,0.0,
zen,1.26e-06,6.1e-07,1.03e-06,9.3e-07,1.06e-06,0.02912621
ivory,5.02e-06,4.88e-06,8.21e-06,4.95e-06,7.96e-06,-0.03045067
alpine,1.633e-05,1.892e-05,1.846e-05,1.763e-05,2.069e-05,0.12080173
dis,0.0,0.0,0.0,0.0,0.0,
prediction,5.02e-06,4.88e-06,7.18e-06,4.95e-06,4.24e-06,-0.40947075
pharmaceuticals,1.88e-06,1.83e-06,2.56e-06,1.86e-06,2.65e-06,0.03515625
andale,0.0,0.0,0.0,0.0,0.0,
fabulous,3.14e-06,3.05e-06,3.08e-06,3.1e-06,2.65e-06,-0.13961039
remix,1.444e-05,1.709e-05,1.333e-05,1.577e-05,1.326e-05,-0.00525131
alias,5.02e-06,4.27e-06,5.13e-06,4.65e-06,4.77e-06,-0.07017544
thesaurus,0.0,0.0,0.0,0.0,0.0,
