Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
very,114.0,112.12,113.17,104.67,101.8,103.19
privacy,0.0,0.0,0.0,0.94,0.91,0.0
book,188.0,182.94,179.35,175.4,171.79,169.59
items,13.0,12.79,12.47,12.26,12.72,12.56
company,283.0,229.16,212.92,211.23,227.23,230.6
r,227.0,221.3,228.26,220.66,209.05,207.27
read,13.0,10.82,9.59,11.32,11.82,10.77
group,291.0,289.16,276.22,276.3,272.68,273.67
sex,55.0,53.11,52.75,51.86,53.63,52.94
need,47.0,46.23,47.0,45.26,46.35,43.97
many,219.0,217.36,220.59,216.89,210.87,209.96
user,5.0,5.9,8.63,7.54,7.27,7.18
said,132.0,134.75,135.23,142.39,134.52,132.8
de,597.0,602.91,584.09,567.68,555.35,553.62
does,82.0,84.58,84.4,81.1,83.62,85.24
set,108.0,111.14,109.34,104.67,110.89,108.57
under,281.0,288.18,281.97,281.01,294.49,297.0
general,215.0,219.33,223.47,218.78,215.41,212.66
research,211.0,205.56,204.29,200.86,196.33,192.02
university,606.0,598.98,599.43,590.32,576.26,576.95
january,284.0,296.05,304.03,302.7,304.49,314.05
mail,10.0,7.87,7.67,7.54,7.27,7.18
full,87.0,87.54,89.2,89.58,91.8,87.93
map,22.0,21.64,22.06,19.8,26.36,25.12
reviews,42.0,39.34,37.4,35.83,34.54,34.1
program,109.0,105.24,99.75,102.79,99.98,110.37
life,333.0,341.29,341.44,355.51,343.57,348.15
know,58.0,58.03,55.63,52.81,51.81,51.15
games,202.0,202.61,197.57,198.97,203.6,202.79
way,120.0,112.12,117.01,115.05,115.43,114.85
days,98.0,96.39,91.11,91.47,91.8,94.21
management,53.0,53.11,42.2,44.32,47.26,48.45
p,481.0,486.85,479.55,473.38,437.19,434.29
part,265.0,267.52,268.55,264.98,269.04,269.19
could,140.0,147.53,147.7,149.94,144.52,145.36
great,116.0,111.14,109.34,110.33,110.89,111.26
united,335.0,345.22,349.11,361.17,369.93,370.58
hotel,32.0,38.36,37.4,37.72,34.54,35.89
real,72.0,69.83,70.97,74.5,72.71,73.58
f,113.0,105.24,103.58,99.01,97.25,96.01
item,2.0,1.97,1.92,0.0,0.0,0.0
international,275.0,278.34,271.42,268.75,269.95,268.29
center,358.0,358.99,368.29,368.71,380.84,386.73
ebay,0.0,0.0,0.0,0.0,0.0,0.0
must,64.0,70.81,78.65,79.21,75.44,77.17
store,34.0,34.42,31.65,27.35,87.26,87.04
travel,35.0,35.41,32.61,31.12,30.9,29.61
comments,7.0,7.87,7.67,6.6,6.36,6.28
made,320.0,314.73,318.42,321.56,320.85,324.82
development,123.0,123.93,120.85,116.93,119.07,116.65
report,79.0,81.63,76.73,73.55,78.17,76.27
off,138.0,137.7,137.15,131.08,128.16,131.9
member,222.0,225.23,220.59,217.83,209.96,207.27
details,29.0,28.52,29.73,26.4,25.45,25.12
line,169.0,177.04,171.68,175.4,169.06,180.35
terms,39.0,40.33,38.36,38.66,41.81,41.28
before,278.0,279.33,275.26,281.96,282.67,282.64
hotels,4.0,4.92,4.8,4.71,4.54,5.38
did,191.0,195.72,194.7,193.31,184.51,181.25
send,14.0,14.75,14.39,14.14,13.63,13.46
right,215.0,196.71,194.7,191.43,191.78,188.43
type,83.0,80.65,82.48,79.21,79.08,78.96
because,140.0,143.6,143.86,153.71,153.61,156.13
local,173.0,167.2,164.96,165.02,166.33,167.79
those,87.0,84.58,87.28,88.64,89.98,91.52
using,83.0,84.58,85.36,82.98,81.8,78.96
results,121.0,120.98,123.72,120.7,121.8,122.93
office,140.0,137.7,126.6,126.36,130.88,130.11
education,146.0,151.47,144.82,142.39,143.61,145.36
national,401.0,427.84,426.8,427.18,436.28,436.98
car,89.0,89.5,86.32,90.53,91.8,90.63
design,105.0,104.26,102.62,102.79,99.07,97.8
take,78.0,74.75,77.69,80.15,75.44,76.27
posted,18.0,18.69,18.22,18.86,18.18,17.95
internet,15.0,11.8,13.43,13.2,12.72,12.56
address,15.0,15.74,15.35,16.03,17.27,17.05
community,144.0,143.6,142.9,137.68,136.34,134.59
within,131.0,132.78,137.15,136.73,140.88,139.08
states,272.0,269.49,263.75,270.64,269.95,270.98
area,177.0,177.04,170.72,169.74,169.97,172.28
want,28.0,27.54,25.9,26.4,25.45,25.12
phone,8.0,7.87,7.67,7.54,7.27,7.18
dvd,45.0,44.26,46.04,45.26,43.63,43.07
shipping,6.0,5.9,5.75,5.66,5.45,5.38
reserved,2.0,1.97,1.92,1.89,1.82,1.79
subject,41.0,40.33,41.24,38.66,41.81,41.28
between,335.0,344.24,342.4,346.08,344.48,347.25
forum,11.0,7.87,9.59,9.43,8.18,8.08
family,277.0,282.28,280.06,283.84,277.22,278.16
l,201.0,195.72,204.29,202.74,199.05,195.61
long,200.0,199.66,194.7,191.43,192.69,191.12
based,192.0,202.61,196.61,191.43,186.33,187.53
w,184.0,179.99,177.43,173.51,165.42,164.2
code,34.0,33.44,32.61,29.23,32.72,32.3
show,232.0,220.31,219.63,219.72,213.6,214.45
o,198.0,201.63,205.25,207.46,204.51,201.89
even,96.0,95.4,96.87,94.3,91.8,92.42
black,153.0,157.37,164.96,164.08,160.88,158.82
check,5.0,5.9,5.75,3.77,3.64,4.49
special,103.0,109.17,108.38,108.44,107.25,107.67
prices,15.0,14.75,14.39,14.14,16.36,15.25
website,48.0,47.21,46.04,47.15,45.45,43.07
index,16.0,16.72,10.55,7.54,7.27,7.18
being,224.0,232.12,236.9,236.69,242.68,246.75
women,302.0,290.14,296.36,291.39,320.85,327.51
much,104.0,99.34,94.95,94.3,95.44,94.21
sign,37.0,36.39,35.49,35.83,36.36,35.89
file,6.0,5.9,5.75,6.6,8.18,7.18
link,11.0,10.82,11.51,12.26,11.82,11.66
open,78.0,77.7,79.6,85.81,91.8,91.52
today,44.0,45.24,42.2,40.55,37.27,36.79
technology,53.0,56.06,52.75,49.98,50.9,50.25
south,304.0,299.98,297.32,315.9,299.94,302.38
case,101.0,97.37,94.95,94.3,93.62,91.52
project,95.0,96.39,95.91,93.36,94.53,93.32
same,186.0,183.92,186.06,183.88,186.33,184.84
pages,15.0,14.75,16.3,16.03,15.45,17.95
uk,152.0,151.47,137.15,132.02,149.97,141.77
version,79.0,81.63,83.44,83.93,80.89,81.65
section,93.0,90.49,88.24,90.53,112.71,109.47
own,147.0,146.55,143.86,138.62,134.52,136.39
found,170.0,166.22,174.55,181.06,177.24,174.07
sports,84.0,83.6,75.77,70.72,69.99,69.99
house,234.0,243.92,236.9,237.64,233.59,231.5
related,54.0,52.13,52.75,52.81,54.54,59.22
security,32.0,35.41,34.53,33.95,35.45,35.89
both,267.0,259.65,264.71,263.1,260.86,263.8
g,194.0,192.77,188.94,190.49,181.78,180.35
county,289.0,289.16,281.01,279.13,272.68,266.49
american,411.0,402.27,408.57,415.86,414.47,415.44
photo,19.0,18.69,20.14,17.92,17.27,17.05
game,266.0,267.52,297.32,298.93,299.03,301.49
